backend,ensemble,seed_index,n_points,graph_edges,graph_components,graph_beta1,graph_mean_degree,graph_shell_mean,graph_edge_weight_mean,graph_edge_weight_q90,h1_count,h1_total_persistence,h1_max_persistence,h1_mean_persistence,h1_q90_persistence,h1_entropy,h1_birth_mean,h1_death_mean,curve_00,curve_01,curve_02,curve_03,curve_04,curve_05,curve_06,curve_07,curve_08,curve_09,curve_10,curve_11,curve_12,curve_13,curve_14,curve_15,curve_16,curve_17,curve_18,curve_19,curve_20,curve_21,curve_22,curve_23,curve_24,curve_25,curve_26,curve_27,curve_28,curve_29,curve_30,curve_31
gudhi_flag,phi,24,420,1165,1,746,5.5476190476190474,2.533905579399142,0.6003201319344555,0.8058714393841435,474,164.55453397342612,0.5849418444283301,0.34716146407895804,0.5849418444283299,6.009768338508475,0.6234560091374564,0.9706174732164141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8128970957484374,4.376861399586738,6.940825703425059,9.504790007263333,12.849991481083043,17.513947979270196,23.028951029374046,28.174646826113822,37.53791335743413,47.55847489013932,56.08262246107582,59.531347344035865,62.29384110182864,61.69762666680438,57.174819175028134
gudhi_flag,phi,25,420,1184,1,765,5.6380952380952385,2.5380067567567566,0.6011728473233507,0.7995974706460837,479,163.46353353967302,0.5774679163940022,0.3412599865128873,0.5774679163940019,6.015082534654907,0.6239554791166749,0.9652154656295622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5700135297862896,4.229127250989719,6.888240972193154,9.547354693396583,12.959773981360497,17.616386052540946,23.27974442300661,28.18667580101059,37.09313949295995,46.77205592833551,55.27689147405953,58.47240996337146,60.99668824181609,60.444251904550875,56.36265391975003
gudhi_flag,phi,26,420,1172,1,753,5.580952380952381,2.5341296928327646,0.6011890884776131,0.7989419540891001,472,159.85634640772815,0.5766768247125348,0.3386787000163732,0.5766768247125345,6.000939046347031,0.6262544971565837,0.9649331971729567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3753805549005955,3.7559915785496774,6.136602602198743,8.517213625847843,11.667264380920017,16.104690406354244,21.633811116440818,26.425049396790538,35.20271296354892,44.68523271523432,53.04551836556313,56.880019514483415,60.18742706824684,60.09575638205527,55.967815990553156
gudhi_flag,phi,27,420,1183,1,764,5.633333333333334,2.5173288250211328,0.6032615868134112,0.8031697532950693,482,175.61120635330943,0.6135692833636268,0.36433860239275817,0.6135692833636266,6.018289654908616,0.6263451819665188,0.9906837843592767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5374984413653476,4.040686095785455,6.543873750205566,9.047061404625655,12.447420802322892,17.241908527963073,23.028057591952546,28.153544217331223,37.35372288080792,47.215068413689956,56.57324675603692,62.123172443809295,65.21793831445959,66.24924050300399,65.6465418249089
gudhi_flag,phi,28,420,1178,1,759,5.609523809523809,2.524617996604414,0.5988927454584454,0.8059403872926316,478,172.42474322230558,0.6031403864349129,0.3607212201303464,0.6031403864349125,6.015629458237096,0.6214030534255682,0.9821242735559148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2423815836684182,3.7760978282588975,6.3098140728493615,8.843530317439829,11.814395939636045,16.186296518898065,22.190102402818944,26.820435037750553,35.123120946532126,45.17530599495993,54.720958828637535,60.594458824358576,64.0332538941003,65.30701352357569,64.58934321080719
gudhi_flag,phi,29,420,1169,1,750,5.566666666666666,2.5355004277159967,0.6000882662771093,0.8022408858421073,474,167.34617752385216,0.59943524436272,0.35305100743428725,0.5994352443627196,6.000038247853313,0.6263577239708955,0.9794087314051825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5975489567411456,4.040870823488319,6.4841926902354805,8.927514556982636,12.172737283816316,16.77806758278146,22.371134817220845,27.119894577654172,35.9591114277253,45.53523947491941,54.766627036789004,59.37429381124361,62.9073461032305,63.36935953057834,61.43011632877661
gudhi_flag,phi,30,420,1177,1,758,5.604761904761904,2.54375531011045,0.59659887151812,0.8025615436426896,489,175.8686682501782,0.5999538465307301,0.3596496283234728,0.5999538465307299,6.037395542529079,0.6197598368821711,0.9794094652056439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7907029755844939,4.484560624449162,7.17841827331383,9.872275922178499,13.39487181980218,18.358847749684273,24.38652002187344,29.616818456875283,39.08332782508329,49.29381104696029,59.15044710129307,63.44377367895825,66.59685422543386,66.61178942313978,64.12400913986625
gudhi_flag,phi,31,420,1190,1,771,5.666666666666667,2.5319327731092436,0.6018535679224366,0.8102424914173163,492,179.06009382226148,0.6061604062771748,0.3639432801265477,0.6061604062771745,6.043360409468443,0.62415747629939,0.9881007564259376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8371051050630947,4.528005765237408,7.218906425411722,9.909807085586054,13.534376335947764,18.669730546311367,24.78050070465953,30.313525745987388,40.12258581448508,50.62817862797654,60.699005818916156,64.90035118067887,68.17639142152655,68.01547012112597,65.34968406355642
gudhi_flag,phi,32,420,1171,1,752,5.576190476190476,2.529461998292058,0.6005282620580937,0.8064875399112738,478,167.30819310971987,0.5852371635000921,0.35001714039690346,0.5852371635000919,6.018515978562594,0.6225604625820117,0.9725776029789152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8772062234624383,4.554925698524818,7.232645173587205,9.910364648649573,13.41374435514925,18.2751381066776,23.997949453725322,29.340359014939988,38.825927110974874,48.964599191671695,57.62460554915558,60.867486434748315,63.28420929052489,62.28305052366554,57.67294179747688
gudhi_flag,phi,33,420,1180,1,761,5.619047619047619,2.5364406779661017,0.5992610668006604,0.8003896888172777,484,163.94247213209334,0.579106364696091,0.3387241159753995,0.5791063646960908,6.022830622216678,0.6252131952386322,0.9639373112140318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5609389548410637,4.02707247951619,6.493206004191343,8.959339528866453,12.25818496776122,16.921079380013566,22.59133018806727,27.656723334187355,36.76480693059677,46.545641365587464,54.97798167408511,58.767080176000235,61.81450146338656,61.076895483427684,56.71560914002241
